x,Firm,City,State,Seed,Early Vent.,Late Vent.,# of Funds,Total Fund Raised ($M),# of Investments,# of Exits,1,#,2,#_2,3,#_3,4,#_4,5,#_5,Website,Crunchbase URL,LinkedIn URL,col_25,State_2,Count,linkedin-private-codex
,11.2 Capital,San Francisco,CA,1,1,,1,$30.0,23,1,Biotechnology,6,Software,6,Artificial Intelligence,6,Robotics,5,Health Care,4,112capital.com,https://www.crunchbase.com/organization/eleventwocapital,https://www.linkedin.com/company/eleven-two-capital?trk=prof-exp-company-name,x,CA,363,
,1517 Fund,San Francisco,CA,1,1,,2,$20.0,23,,Software,4,Health Care,2,Recruiting,2,Computer,2,Mobile Apps,2,1517fund.com,https://www.crunchbase.com/organization/1517-fund#section-locked-marketplace,https://www.linkedin.com/company/1517fund,x,NY,111,
,1776 Ventures,Washington D.C.,DC,1,1,,1,$12.5,48,7,Education,10,EdTech,5,Transportation,5,Health Care,4,Mobile Payments,3,1776.vc,https://www.crunchbase.com/organization/1776-ventures,https://www.linkedin.com/company/1776-ventures/,x,MA,52,
,1855 Capital,State College,PA,1,,,,,1,,Impact Investing,1,Fantasy Sports,1,Crowdfunding,1,Non Profit,1,,,1855capital.com,https://www.crunchbase.com/organization/1855-capital-partners,linkedin.com/company/15199936,x,IL,31,
,1984 Ventures,San Francisco,CA,1,,,,,2,,Software,4,Health Care,1,SaaS,1,Machine Learning,1,Computer,1,1984.vc,https://www.crunchbase.com/organization/1984-ventures,linkedin.com/company/18385189,x,TX,24,
,1confirmation,San Francisco,CA,1,1,,1,$26.0,9,,Blockchain,5,Cryptocurrency,5,Financial Service,3,Security,2,Finance,2,1confirmation.com,https://www.crunchbase.com/organization/1confirmation,https://www.linkedin.com/company/1confirmation,x,CO,21,
,22X Fund,Cupertino,CA,1,,,,,,,,,,,,,,,,,22xfund.com,https://www.crunchbase.com/organization/22x-fund,linkedin.com/company/18505015,x,PA,13,
,301 Ventures,College Park,MD,1,,,,,5,,Search Engine,1,Food & Beverage,1,Fitness,1,Medical Device,1,Consumer Goods,1,301ventures.com,https://www.crunchbase.com/organization/301-ventures,linkedin.com/company/10431674,x,MI,12,
,3Rodeo,Los Angeles,CA,1,1,,,,6,,Financial Service,2,Education,1,Mobile Advertising,1,Food & Beverage,1,Business Development,1,3rodeo.com,https://www.crunchbase.com/organization/3rodeo,https://www.linkedin.com/company/3rodeo/,x,VA,12,
,4490 Ventures,Madison,WI,1,1,,2,$79.0,15,1,Health Care,2,Medical,2,Analytics,2,Search Engine,1,E-Commerce,1,4490.ventures,https://www.crunchbase.com/organization/4490-ventures#section-locked-marketplace,https://www.linkedin.com/company/4490-ventures,x,OH,13,
